HSGPA,COURSE,GRADE,PASS,UNITS_ENROLLED,STANDARDIZED_TEST_SCORE,STEM_MAJOR,,,,,
3.9,SOC 170,C,1,15,540,0,,,,,
3.86,SOC 170,A,1,15,700,0,,,,,
3.08,SOC 170,A,1,15,510,0,,,,,
3.57,SOC 170,A,1,17,600,0,,,,,
4.03,SOC 170,WU,0,16,470,0,,,,,
3.87,SOC 170,A,1,15,540,0,,,,,
4.12,SOC 170,B,1,16,670,1,,,,,
3.57,SOC 170,B,1,14,530,0,,,,,
3.09,SOC 170,B,1,15,510,0,,,,,
2.94,SOC 170,C,1,16,600,0,,,,,
3.68,SOC 170,B,1,15,550,0,,,,,
3.81,SOC 170,A,1,15,520,0,,,,,
2.82,SOC 170,C,1,15,570,0,,,,,
3.78,SOC 170,A,1,16,600,0,,,,,
3.28,SOC 170,B,1,16,480,0,,,,,
3.28,SOC 170,B,1,16,430,0,,,,,
3.83,SOC 170,A,1,15,640,0,,,,,
3.79,SOC 170,A,1,16,510,0,,,,,
3.18,SOC 170,A,1,15,510,0,,,,,
3.58,SOC 170,B,1,14,540,0,,,,,
3.85,SOC 170,A,1,15,690,0,,,,,
3.91,SOC 170,A,1,19,690,0,,,,,
3.33,SOC 170,A,1,16,670,0,,,,,
3.44,SOC 170,B,1,16,600,1,,,,,
3.93,STAT 108,A,1,15,640,1,,,,,
3.96,STAT 108,C,1,15,550,1,,,,,
3.8,STAT 108,C,1,14,500,0,,,,,
3.22,STAT 108,C,1,15,460,0,,,,,
2.87,STAT 108,B,1,15,620,0,,,,,
3.67,STAT 108,B,1,15,650,1,,,,,
3.42,STAT 108,C,1,15,540,0,,,,,
2.93,STAT 108,WU,0,12,520,0,,,,,
3.71,STAT 108,B,1,16,640,0,,,,,
3.56,STAT 108,B,1,15,540,0,,,,,
3.13,STAT 108,D,0,15,500,0,,,,,
3.89,STAT 108,W,0,16,520,0,,,,,
3.1,STAT 108,F,0,12,480,0,,,,,
3.53,STAT 108,B,1,15,580,1,,,,,
4.15,STAT 108,A,1,15,710,1,,,,,
3.75,STAT 108,C,1,15,660,0,,,,,
3.44,STAT 108,C,1,15,580,0,,,,,
3.73,STAT 108,W,0,15,620,0,,,,,
3.55,STAT 108,D,0,15,600,0,,,,,
3.96,STAT 108,B,1,15,610,1,,,,,
3.6,STAT 108,F,0,15,650,0,,,,,
3.74,STAT 108,F,0,15,660,0,,,,,
3.57,STAT 108,A,1,15,650,1,,,,,
3.21,STAT 108,F,0,15,700,0,,,,,
3.56,STAT 108,B,1,15,650,1,,,,,
